Дата,Время,Место,Улица,Дом,Адрес,Дорог,Килом,Метр,Full Addre,Latitude,Longitude,Погиб,Поги_1,Ранен,Ране_1,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,join_snowp,join_descr,join_smoot,join_troll,join_width,DTP_ID,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_Targe,bump_Dista
05.11.2020,15:35,"Новгородская область, Великий Новгород",Озерная ул,"12",,,,,"Новгородская область, Великий Новгород Озерная ул 12",58.5091666000,31.2423558000,"0","0","0","0",way/411260863,way/411260863,,tertiary,,,"2",,,,,Каберова-Власьевская улица,,,,,,"55",node/6734742623,221.852913540676951,node/376294300,829.856658996339434,node/377612243,603.080186972302045,node/7765694939,116.015399731813375
05.11.2020,14:34,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"43",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 43",58.5441800000,31.2621780000,"0","0","0","0",way/173199101,way/173199101,,primary,asphalt,,"2","60",,yes,,Большая Санкт-Петербургская улица,,,,,,"56",node/6130759967,17.029146993482176,node/15500382,642.443899994097023,node/892942639,7.484255058199721,node/3940315867,453.065898084181754
05.11.2020,13:00,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"57",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
05.11.2020,10:20,"Новгородская область, Великий Новгород",Бианки ул,"12",,,,,"Новгородская область, Великий Новгород Бианки ул 12",58.5043353000,31.2386484000,"0","0","0","0",way/438514982,way/438514982,,tertiary,,,"2","60",,no,,Луговая улица,,,,,,"58",node/5908305697,17.337291143184444,node/376294300,1232.199055007652078,node/892703701,733.530899854183303,node/7765694938,366.768414581958780
05.11.2020,8:30,"Новгородская область, Новгородский район",,,,Великий Новгород - Нехино,"2","100","Новгородская область, Новгородский район   Великий Новгород - Нехино 2 100",58.5267812000,31.2510759000,"0","0","0","0",way/47701335,way/47701335,,secondary,asphalt,,"4",,,,,Октябрьская улица,,,bad,,,"59",node/898629221,22.563233168284746,node/293344545,43.079239538143241,node/286533607,33.647059735914517,node/6425003413,832.113082801232281
05.11.2020,5:00,"Новгородская область, Великий Новгород",Нехинская ул,"59",,,,,"Новгородская область, Великий Новгород Нехинская ул 59",58.5245111000,31.2228610000,"0","0","0","0",way/199409880,way/199409880,,primary,asphalt,,"4",,,,,Нехинская улица,,,,,,"60",node/4608991300,62.786793014682800,node/27019229,250.058814495515037,node/1106149149,39.748333347719502,node/299484497,682.597669265903846
04.11.2020,23:20,"Новгородская область, Великий Новгород",Октябрьская ул,"5",,,,,"Новгородская область, Великий Новгород Октябрьская ул 5",58.5268099000,31.2511725000,"0","0","0","0",way/47701335,way/47701335,,secondary,asphalt,,"4",,,,,Октябрьская улица,,,bad,,,"61",node/898629221,14.738981872063794,node/293344545,35.255240236829593,node/286533607,39.946547473055041,node/6425003413,827.628050660492363
04.11.2020,21:45,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"2","0","8","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"62",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
04.11.2020,21:43,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"51",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 51",58.5500941000,31.2660523000,"0","0","2","0",way/665630196,way/665630196,,primary,asphalt,,"2","60",,yes,,Большая Санкт-Петербургская улица,,,,,,"63",node/8261299730,25.792865454837109,node/281000784,84.827552462674788,node/565333511,174.146002134314358,node/3940315867,1012.035862800545146
04.11.2020,18:55,"Новгородская область, Великий Новгород",Ломоносова ул,"43",,,,,"Новгородская область, Великий Новгород Ломоносова ул 43",58.5249318000,31.2382201000,"0","0","0","0",way/175868878,way/175868878,,secondary,asphalt,,"2",,,yes,,улица Ломоносова,,,bad,,,"64",node/1864272931,48.882161468713093,node/1864272938,50.256922436674103,node/299374453,15.215051977184148,node/6418400809,214.186152412036023
