ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"574",way/173340973,way/173340973,,secondary,asphalt,,"2",,,,,Чудовская улица,"0","0","0","0","574",node/4609075390,201.063761776033857,node/15500382,161.911975053451670,node/414572452,386.655347364296631,node/3940315859,101.170492805734
"575",way/36186280,way/36186280,,tertiary,,,"1",,,,,,"0","0","0","0","575",node/7429024597,1590.112367154279809,node/7463852740,2669.937252557482225,node/2376005807,1563.210781565414663,node/2355870389,3011.49464179044
"576",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","576",node/5678275733,3924.559746588328380,node/230461929,3964.200404854236695,node/6010350323,4118.844540399403741,node/455885362,1909.71623961007
"577",way/172394142,way/172394142,,primary,asphalt,,"2",,,yes,,улица Державина,"0","0","0","0","577",node/6305149668,33.171468360891332,node/2206310654,345.187487035387505,node/313454217,442.786000307984864,node/1570949864,1728.73668371418
"578",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","578",node/4773038317,3820.489638557593025,node/7463852740,4169.913261575226898,node/2849847592,3845.065058451313234,node/1578386259,1698.31541482558
"579",way/175881858,way/175881858,,primary,asphalt,,"3",,,yes,,проспект Александра Корсунова,"0","0","0","1","579",node/1864273548,104.917354049315435,node/1864273486,122.776024237078204,node/893969478,58.848351024358870,node/302050384,1085.10408108835
"580",way/207578568,way/207578568,,tertiary,,,,"90",,,49Н-1167,,"0","0","0","0","580",node/5678275733,3079.620848321525500,node/177601891,7269.651255828693138,node/267426824,6757.538585093825532,node/455885369,552.477920203134
"581",way/238059750,way/238059750,,tertiary,,,"2","40",,,,улица Зелинского,"0","0","0","0","581",node/6723213637,257.432532660975880,node/1864273154,317.366123170828700,node/299374448,311.422965520411253,node/302050387,77.5450862881841
"582",way/48431947,way/48431947,,tertiary,,,"1",,,,,,"0","0","0","0","582",node/4570994739,330.503138263510834,node/1143738665,4833.972385309109086,node/5996483888,469.553256996739492,node/4744460853,3879.0835568595
"583",way/133244871,way/133244871,,tertiary,,,"4",,,,,Магистральная улица,"0","0","0","0","583",node/177598706,718.947977561051630,node/6092334694,1546.307220806369060,node/565333511,1526.052591948407098,node/6340964470,598.473093712761
