id,join_id,join_geom_buffe,join_obj_cod,join_typ_cod,join_nlevel,join_btf,join_oneway,join_surface,join_splitter,join_speedlim,join_f_rspeed,join_t_rspeed,join_lanewidth,join_f_lanes,join_t_lanes,join_f_sidewalk,join_t_sidewalk,join_f_buslanes,join_t_buslanes,join_multidigit,join_rd_name,join_rd_e_name,join_rd_l_name,join_f_parking,join_t_parking,join_bicyclanes,distance,xcoord_bad,y_coord_bad,NUM_10NOND,10dead_NUM,50dead_Num,50notdead_,Cros_HubName,Cros_HubDist,traf_HubName,traf_HubDist,Stop_HubName,Stop_HubDist,Bump_HubName,Bump_HubDist,x,y
"6173","20322840","POLYGON((37.6692556325971 55.6909178938211,37.6692629076547 55.6909115861736,37.6698421424868 55.690384422966,37.6705829779365 55.6897232126197,37.6706095289345 55.6896943643602,37.6706299417462 55.6896608905692,37.6706434319189 55.6896240776257,37.67064","0","7701","7","0","0","2","0","20","5","5","0","0","0","0","0","0","0","0",,,,"0","1","0",0.000012552133147,6793683.40612,6184078.04081,0,0,0,0,n6682182424,178.499826722368340,n6546053434,207.807270520519978,n1272285088,496.958149650067867,"1711407",1192.406977228256437,37.66969,55.69027
"6177","19450001","POLYGON((37.7804721022239 55.6473325315764,37.7804708494515 55.6473314298859,37.7804591208293 55.6473187429678,37.7804507132671 55.647307450867,37.7804444812546 55.6472966458968,37.7804432642438 55.6472939056681,37.7804390778786 55.6472815858126,37.78043","0","7701","7","0","0","9","0","20","5","5","0","0","0","0","0","0","0","0",,,,"0","1","0",0.000825034789895,6801202.31656,6179764.30195,0,0,0,0,n8127059347,367.320036914082493,n291707546,818.420862868493259,n249304904,1566.651403140283719,"628293557",1440.890742202871024,37.78410,55.64706
"6179","12697667","POLYGON((37.739198266225 55.6827382248685,37.7391849764722 55.6827447607878,37.7391807902554 55.6827468809207,37.7391497983781 55.6827630365194,37.7391132620172 55.6827875383851,37.7390989788041 55.6827995917742,37.7390751296217 55.682823438608,37.739055","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000063909370804,6798107.36543,6183552.90784,0,0,0,0,n7965047848,71.588156464814347,n330799009,126.582537311960692,n1988601946,409.795276702545493,"857151152",820.694857694786720,37.73922,55.68288
"6190","19397367","POLYGON((37.8014514413308 55.6876566817076,37.8014898867202 55.6876489921301,37.8015260932301 55.6876339499822,37.8015586694645 55.6876121333254,37.8015863635371 55.6875843805614,37.8016081111803 55.6875517582134,37.8016230766442 55.68751551994,37.801630","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000612427802395,6801914.86679,6184270.36632,0,0,0,0,n2388962896,681.662848203844305,n309337061,1153.958893259461547,n5019534350,1325.478986446816180,"628293549",696.724335284505969,37.80033,55.68695
"6195","8703565","POLYGON((37.8259735549366 55.6665196764901,37.8259772856232 55.6664847059738,37.8259748330637 55.6664496226445,37.8259645922694 55.6663852770111,37.8259583896745 55.6663584034329,37.8258939804687 55.6661470754153,37.8258908889257 55.6661377583369,37.8257","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.003973499598536,6803967.43803,6181575.86211,0,0,0,0,n2390082665,1768.868061868829272,n595484123,508.874738780688745,n6939553031,3121.602242225730606,"628293549",3513.052037213043150,37.82987,55.66156
"6252","12627863","POLYGON((37.6548063231692 55.6496398670407,37.6548387820689 55.6496618578888,37.6548749074816 55.6496770937717,37.6549133111278 55.649684989183,37.6549525171772 55.6496852407065,37.6549910189631 55.6496778386762,37.6550273368834 55.6496630675481,37.65506","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000155326464188,6793062.86758,6179457.27848,0,0,0,0,n6483483319,102.524778801540748,n252499999,435.885905782254383,n2461496763,215.605264864152161,"1711318",928.439699820228952,37.65493,55.64928
"6258","12073828","POLYGON((37.6696655470288 55.6843084565197,37.669945348966 55.6843257767658,37.6699544778911 55.6843261328033,37.6700831166397 55.6843282091647,37.6700928466785 55.6843281294867,37.6703279357884 55.6843204823988,37.6703668082877 55.6843153729596,37.67040","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000014434468053,6793737.90095,6183392.65968,0,0,0,0,n1690655779,237.862084945681147,n253290279,247.424661758834702,n1377188058,444.575280947613862,"1711407",1395.429229727898246,37.66982,55.68410
"6260","12605793","POLYGON((37.6599638581309 55.6644798930154,37.6599501245088 55.6644787000339,37.6599258699961 55.6644774333302,37.6599033932925 55.664477524221,37.6598840795139 55.6644786895883,37.6598453637408 55.664484875579,37.6598085987074 55.6644984957803,37.659775","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000002273997224,6793284.26625,6181196.71057,0,0,0,0,n1025140818,284.385634534736482,n5777206614,274.819535869958202,n1475114996,262.211530572078857,"1711318",2306.888809581675105,37.66029,55.66472
"6271","12706685","POLYGON((37.6624739503181 55.6352875247582,37.6624269962774 55.6353114805156,37.662370898294 55.6353328930443,37.6623056406087 55.6353507855022,37.6622532960203 55.6353609558131,37.6621973285116 55.6353681754497,37.6618775356204 55.635390788827,37.661838","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000008375125246,6793628.72671,6177961.43078,0,0,0,0,n4542060800,170.329896145521502,n1025356597,336.010703225226962,n1243536619,262.363239388641318,"1711318",1017.673753925277879,37.66229,55.63555
"6289","12642761","POLYGON((37.6535147014122 55.6427608192348,37.6535355726726 55.6427936292145,37.653562665676 55.6428219690581,37.6535947669242 55.6428444787768,37.6536306427841 55.6428602933347,37.6536689145666 55.6428688049873,37.6537081115086 55.6428696866364,37.65374","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000609304899477,6793042.11307,6178637.81653,0,0,0,0,n3217340205,141.858359140376734,n5379280672,263.737935897851230,n5385466929,121.574628156250327,"1711318",863.922221658035596,37.65373,55.64196
